contributor_employer,employer_categories,cleaned_boss,number_jobs,num_donations,total_donations
KENWOOD ANIMAL HOSPITAL,KENWOOD ANIMAL HOSPITAL,KENWOOD ANIMAL HOSPITAL,1,1,205
KETCHUM,KETCHUM,KETCHUM,1,1,134
KEVIN GREEN,KEVIN GREEN,KEVIN GREEN,1,1,25
KEVIN M. GIL M.D.,KEVIN M. GIL M.D.,KEVIN M. GIL M.D.,1,1,54
KEVORKIAN CLEANING COMPANY,KEVORKIAN CLEANING COMPANY,KEVORKIAN CLEANING COMPANY,1,1,79.5
"KGCII, INC","KGCII, INC","KGCII, INC",1,1,250
KIERNAN TREBACH,KIERNAN TREBACH,KIERNAN TREBACH,1,1,250
KILPATRICK TOWNSEND,KILPATRICK TOWNSEND,KILPATRICK TOWNSEND,1,1,80
KINDWORKS,KINDWORKS,KINDWORKS,1,1,500
KING & SPALDING,KING & SPALDING,KING & SPALDING,1,1,500
KING & SPALDING LLP,KING & SPALDING,KING & SPALDING,1,1,2041.02
KING AUTOMOTIVE,KING AUTOMOTIVE,KING AUTOMOTIVE,1,1,3300
KING AUTOMOTIVE GROUP,KING AUTOMOTIVE GROUP,KING AUTOMOTIVE GROUP,1,1,3300
KING KING & ASSOCIATES CPAS,KING KING & ASSOCIATES CPAS,KING KING & ASSOCIATES CPAS,1,1,1000
KING KING & ASSOCIATES PA,KING KING & ASSOCIATES PA,KING KING & ASSOCIATES CPAS,1,1,525
KINGDOM CAPITAL,KINGDOM CAPITAL,KINGDOM CAPITAL,1,1,500
KINGSBURY,KINGSBURY,KINGSBURY,1,1,221
"KIRKLIN BUILDERS, LLC","KIRKLIN BUILDERS, LLC","KIRKLIN BUILDERS, LLC",1,1,283.33
KIV AND SPALDING,KIV AND SPALDING,KIV AND SPALDING,1,1,150
KLDISCOVERY ONTRACK LLC,KLDISCOVERY ONTRACK LLC,KLDISCOVERY ONTRACK LLC,1,1,375
KLEIN ENTERPRISES,KLEIN ENTERPRISES,KLEIN ENTERPRISES,1,1,3300
KLEIN JOHNSON GROUP,KLEIN/JOHNSON GROUP,KLEIN/JOHNSON GROUP,1,1,2500
KLEIN'S SHOPRITE OF MARYLAND,KLEIN'S SHOPRITE OF MARYLAND,KLEIN'S SHOPRITE OF MARYLAND,1,1,3000
KLEIN/JOHNSON GROUP LLC,KLEIN/JOHNSON GROUP,KLEIN/JOHNSON GROUP,1,1,2500
KLEINFELD KAPLAN & BECKER LLP,KLEINFELD KAPLAN & BECKER LLP,KLEINFELD KAPLAN & BECKER LLP,1,1,350
KLEINJOHNSON GROUP,KLEIN/JOHNSON GROUP,KLEIN/JOHNSON GROUP,1,1,1000
KLEPPINGER ELECTRIC,KLEPPINGER ELECTRIC,KLEPPINGER ELECTRIC,1,1,2000
KLEYNIMALS,KLEYNIMALS,KLEYNIMALS,1,1,100
KLIMASKI & ASSOCIATES P.C.,KLIMASKI & ASSOCIATES P.C.,KLIMASKI & ASSOCIATES P.C.,1,1,108.5
KLIMEK KOLODNEY  CASALE PC,KLIMEK KOLODNEY  CASALE PC,KLIMEK KOLODNEY  CASALE PC,1,1,1561.52
"KLNB, LLC","KLNB, LLC","KLNB, LLC",1,1,2000
KLT STRATEGIES LLC,KLT STRATEGIES LLC,KLT STRATEGIES LLC,1,1,1000
KNOTT MECHANICAL INC,KNOTT MECHANICAL INC,KNOTT MECHANICAL INC,1,1,2000
KNOTT REALTY GROUP,KNOTT REALTY GROUP,KNOTT REALTY GROUP,1,1,3300
KNOWLEDGE ADVANTAGE INC,KNOWLEDGE ADVANTAGE INC,KNOWLEDGE ADVANTAGE INC,1,1,250
KO DISTILLING,KO DISTILLING,KO DISTILLING,1,1,1000
KOCH COMPANIES PUBLIC SECTOR LLC,KOCH COMPANIES PUBLIC SECTOR LLC,KOCH COMPANIES PUBLIC SECTOR LLC,1,1,6600
"KOCH COMPANIES PUBLIC SECTOR, LLC",KOCH COMPANIES PUBLIC SECTOR LLC,KOCH COMPANIES PUBLIC SECTOR LLC,1,1,3300
KOCH HOMES,KOCH HOMES,KOCH HOMES,1,1,3300
KOCH INDUSTRIES,KOCH INDUSTRIES,KOCH INDUSTRIES,1,1,1041.02
KODIAK PROPERTIES LLC,KODIAK PROPERTIES LLC,KODIAK PROPERTIES LLC,1,1,1000
KONIAG GOVERNMENT SERVICES,KONIAG GOVERNMENT SERVICES,KONIAG GOVERNMENT SERVICES,1,1,250
KONSORTIUM LLC,KONSORTIUM LLC,KONSORTIUM LLC,1,1,3300
KOONS MOTORS INC,KOONS MOTORS INC,KOONS MOTORS INC,1,1,3300
KOONS MOTORS INC.,KOONS MOTORS INC,KOONS MOTORS INC,1,1,2500
KOONS TOYOTA WESTMINSTER,KOONS TOYOTA WESTMINSTER,KOONS TOYOTA WESTMINSTER,1,1,300
KORN FERRY,KORN FERRY,KORN FERRY,1,1,125
"KPI COMMERCIAL, LLC","KPI COMMERCIAL, LLC","KPI COMMERCIAL, LLC",1,1,1000
KPMG INTERNATIONAL LTD,KPMG INTERNATIONAL LTD,KPMG INTERNATIONAL LTD,1,1,500
KRAMON & GRAHAM,KRAMON & GRAHAM,KRAMON & GRAHAM,1,1,250
KRAUSS WHITING LLC,KRAUSS WHITING LLC,KRAUSS WHITING LLC,1,1,500
KTAZ MARSHALL & BANKS,KTAZ MARSHALL & BANKS,KTAZ MARSHALL & BANKS,1,1,4050
KYM ALI CONSULTING,KYM ALI CONSULTING,KYM ALI CONSULTING,1,1,500
L3HARRIS,L3HARRIS,L3HARRIS,1,1,10
LA PEREZ CONSULTING,LA PEREZ CONSULTING,LA PEREZ CONSULTING,1,1,250
LABORERS' H&S FUND,LABORERS' H&S FUND,LABORERS' H&S FUND,1,1,200.24
LAKENHEATH ELECTRONICS DESIGN INC.,LAKENHEATH ELECTRONICS DESIGN INC.,LAKENHEATH ELECTRONICS DESIGN INC.,1,1,270
LAMB WESTON,LAMB WESTON,LAMB WESTON,1,1,3300
LANCASTER GENERAL HEALTH,LANCASTER GENERAL HEALTH,LANCASTER GENERAL HEALTH,1,1,561.2
LANDON SCHOOL,LANDON SCHOOL,LANDON SCHOOL,1,1,1000
LANDOW & CO BUILDERS,LANDOW & CO BUILDERS,LANDOW & CO BUILDERS,1,1,2500
LANDSMAN LAW GROUP,LANDSMAN LAW GROUP,LANDSMAN LAW GROUP,1,1,550
LANSING LEE ADVISORS,LANSING LEE ADVISORS,LANSING LEE ADVISORS,1,1,500
LANZAJET,LANZAJET,LANZAJET,1,1,1000
LARGO COMMUNITY CHURCH,LARGO COMMUNITY CHURCH,LARGO COMMUNITY CHURCH,1,1,50
LARGO FINANCIAL SERVICES LLC,LARGO FINANCIAL SERVICES LLC,LARGO FINANCIAL SERVICES LLC,1,1,500
LASSITER & ASSOCIATES LLC,LASSITER & ASSOCIATES LLC,LASSITER & ASSOCIATES LLC,1,1,250
"LATHAM & WATKINS, LLP",LATHAM & WATKINS LLP,LATHAM & WATKINS LLP,1,1,1000
LATIMER VENTURES,LATIMER VENTURES,LATIMER VENTURES,1,1,250
LATSHAW COMMERCIAL REAL ESTATE,LATSHAW COMMERCIAL REAL ESTATE,LATSHAW COMMERCIAL REAL ESTATE,1,1,500
LAUREATE EDUCATION,LAUREATE EDUCATION,LAUREATE EDUCATION,1,1,84
LAUREEN J MULLINS,LAUREEN J MULLINS,LAUREEN J MULLINS,1,1,90
LAUREL FUEL OIL,LAUREL FUEL OIL,LAUREL FUEL OIL,1,1,1041.02
LAUREL RADIOLOGY,LAUREL RADIOLOGY,LAUREL RADIOLOGY,1,1,1050
LAUREL STRATEGIES,LAUREL STRATEGIES,LAUREL STRATEGIES,1,1,6600
LAVI,LAVI,LAVI,1,1,4600
LAW OFFICE OF ALAN BANOV,LAW OFFICE OF ALAN BANOV,LAW OFFICE OF ALAN BANOV,1,1,68
LAW OFFICE OF ANGELIA ROWE GARNER,LAW OFFICE OF ANGELIA ROWE GARNER,LAW OFFICE OF ANGELIA ROWE GARNER,1,1,850
LAW OFFICE OF CARLTON J MOSS JR,LAW OFFICE OF CARLTON J MOSS JR,LAW OFFICE OF CARLTON J MOSS JR,1,1,250
LAW OFFICE OF CHAD M SHUE LLC,LAW OFFICE OF CHAD M SHUE LLC,LAW OFFICE OF CHAD M SHUE LLC,1,1,521.15
LAW OFFICE OF HAROLD P. PUGH LLC,LAW OFFICE OF HAROLD P. PUGH LLC,LAW OFFICE OF HAROLD P. PUGH LLC,1,1,250
LAW OFFICE OF HERMAN LAWRENCE JR,LAW OFFICE OF HERMAN LAWRENCE JR,LAW OFFICE OF HERMAN LAWRENCE JR,1,1,300
LAW OFFICE OF LAURIE B HORVITZ LLC,LAW OFFICE OF LAURIE B HORVITZ LLC,LAW OFFICE OF LAURIE B HORVITZ LLC,1,1,250
LAW OFFICE OF MICHAEL S EDWARDS,LAW OFFICE OF MICHAEL S EDWARDS,LAW OFFICE OF MICHAEL S EDWARDS,1,1,250
LAW OFFICE OF MIDGETT S. PARKER,LAW OFFICE OF MIDGETT S. PARKER,LAW OFFICE OF MIDGETT S. PARKER,1,1,250
LAW OFFICES OF ANDREW MARKS PLLC,LAW OFFICES OF ANDREW MARKS PLLC,LAW OFFICES OF ANDREW MARKS PLLC,1,1,3300
LAW OFFICES OF DENNIS A. BAIRD,LAW OFFICES OF DENNIS A. BAIRD,LAW OFFICES OF DENNIS A. BAIRD,1,1,650
LAW OFFICES OF FRANK B. CAHN P.A.,LAW OFFICES OF FRANK B. CAHN P.A.,LAW OFFICES OF FRANK B. CAHN P.A.,1,1,208.2
LAW OFFICES OF GABRIEL J CHRISTIAN & A,LAW OFFICES OF GABRIEL J CHRISTIAN & A,LAW OFFICES OF GABRIEL J CHRISTIAN & A,1,1,250
LAW OFFICES OF JACK N GOODMAN,LAW OFFICES OF JACK N GOODMAN,LAW OFFICES OF JACK N GOODMAN,1,1,1225
LAW OFFICES OF JACK N. GOODMAN,LAW OFFICES OF JACK N GOODMAN,LAW OFFICES OF JACK N GOODMAN,1,1,1000
LAW OFFICES OF LOUIS E. GITOMER,LAW OFFICES OF LOUIS E. GITOMER,LAW OFFICES OF LOUIS E. GITOMER,1,1,425
LAW OFFICES OF MARK L. ROSENBERG,LAW OFFICES OF MARK L. ROSENBERG,LAW OFFICES OF MARK L. ROSENBERG,1,1,350
LAW OFFICESPETER ANGELOS,LAW OFFICESPETER ANGELOS,LAW OFFICES OF PETER ANGELOS,1,1,5
"LAWLER, METZGER, KEENEY, & LOGAN","LAWLER, METZGER, KEENEY, & LOGAN","LAWLER, METZGER, KEENEY, & LOGAN",1,1,500
LAWYERS' COMMITTEE FOR CIVIL RIGHTS,LAWYERS' COMMITTEE FOR CIVIL RIGHTS,LAWYERS' COMMITTEE FOR CIVIL RIGHTS,1,1,175
LEADING BY EXAMPLE,LEADING BY EXAMPLE,LEADING BY EXAMPLE,1,1,250
LEADING BY EXAMPLE LLC,LEADING BY EXAMPLE LLC,LEADING BY EXAMPLE,1,1,250
LEAH LARSON-RABIN,LEAH LARSON-RABIN,LEAH LARSON-RABIN,1,1,3300
LEARNING HOW! CHILD DEVELOPMENT CENTER,LEARNING HOW! CHILD DEVELOPMENT CENTER,LEARNING HOW! CHILD DEVELOPMENT CENTER,1,1,1050
LEAVITT PARTNERS,LEAVITT PARTNERS,LEAVITT PARTNERS,1,1,500
LEBANON VALLEY COLLEGE,LEBANON VALLEY COLLEGE,LEBANON VALLEY COLLEGE,1,1,35
LEBAU AND NEUWORTH,LEBAU AND NEUWORTH,LEBAU AND NEUWORTH,1,1,750
LEBEAU AND NEUWIRTH,LEBAU AND NEUWORTH,LEBAU AND NEUWORTH,1,1,250
LEGAL SERVICES CORP,LEGAL SERVICES CORP,LEGAL SERVICES CORP,1,1,250
LEGALMATCH.COM,LEGALMATCH.COM,LEGALMATCH.COM,1,1,25
LEGATUS 6,LEGATUS 6,LEGATUS 6,1,1,3300
LEGATUS6,LEGATUS 6,LEGATUS 6,1,1,14100
LEGG MASON CAPITAL MANAGEMENT INC,LEGG MASON CAPITAL MANAGEMENT INC,LEGG MASON CAPITAL MANAGEMENT INC,1,1,3300
LEHIGH UNIVERSITY,LEHIGH UNIVERSITY,LEHIGH UNIVERSITY,1,1,1250
LEIDOS INC,LEIDOS INC,LEIDOS INC,1,1,1000
LEITERSBURG PIKE TWO LLC,LEITERSBURG PIKE TWO LLC,LEITERSBURG PIKE TWO LLC,1,1,3300
LENDLEASE,LENDLEASE,LENDLEASE,1,1,250
LENHART TRAFFIC CONSULTING INC,LENHART TRAFFIC CONSULTING INC,LENHART TRAFFIC CONSULTING INC,1,1,1000
LEO'S,LEO'S,LEO'S,1,1,40
LEONARDO DRS,LEONARDO DRS,LEONARDO DRS,1,1,100
"LERCH, EARLY & BREWER, CHTD",LERCH EARLY & BREWER,LERCH EARLY & BREWER,1,1,325
LERMAN SENTER PLLC,LERMAN SENTER PLLC,LERMAN SENTER PLLC,1,1,250
LESTER & ASSOCIATED,LESTER & ASSOCIATED,LESTER & ASSOCIATED,1,1,75
LESTER & ASSOCIATES,LESTER & ASSOCIATES,LESTER & ASSOCIATED,1,1,50
LEVENTHAL LAW GROUP PLLC,LEVENTHAL LAW GROUP PLLC,LEVENTHAL LAW GROUP PLLC,1,1,250
"LEVI SNOTHERLY & SCHAUMBERG, PLLC","LEVI SNOTHERLY & SCHAUMBERG, PLLC","LEVI SNOTHERLY & SCHAUMBERG, PLLC",1,1,450
LEVIN & PERCONTI,LEVIN & PERCONTI,LEVIN & PERCONTI,1,1,375
LEVIN GANN P.A.,LEVIN GANN P.A.,LEVIN GANN P.A.,1,1,15
LEVINGANN PA,LEVIN GANN P.A.,LEVIN GANN P.A.,1,1,86.25
"LEVY FIRESTONE MUSE, LLP",LEVY FIRESTONE MUSE LLP,LEVY FIRESTONE MUSE LLP,1,1,1500
LEWINTER LAW GROUP,LEWINTER LAW GROUP,LEWINTER LAW GROUP,1,1,300
LEWIS & TOMPKINS PC,LEWIS & TOMPKINS PC,LEWIS & TOMPKINS PC,1,1,1800
LEWIS AND TOMPKINS,LEWIS AND TOMPKINS,LEWIS AND TOMPKINS,1,1,1700
LEWIS AND TOMPKINS PC,LEWIS AND TOMPKINS,LEWIS AND TOMPKINS,1,1,-1700
LIBERTY GLOBAL,LIBERTY GLOBAL,LIBERTY GLOBAL,1,1,500
LIBERTY PETROLEUM,LIBERTY PETROLEUM,LIBERTY PETROLEUM,1,1,1000
LIBERTY PURE,LIBERTY PURE,LIBERTY PURE,1,1,500
LIFE & LEGACY COUNSELORS,LIFE & LEGACY COUNSELORS,LIFE & LEGACY COUNSELORS,1,1,100
LIFE BY DALLAS INC,LIFE BY DALLAS INC,LIFE BY DALLAS INC,1,1,1000
"LIFE BY DALLAS, INC.",LIFE BY DALLAS INC,LIFE BY DALLAS INC,1,1,1000
LIFE STRIDE,LIFE STRIDE,LIFE STRIDE,1,1,250
LIFESTANCE,LIFESTANCE,LIFESTANCE,1,1,28
LIGHT STREET BARBERS,LIGHT STREET BARBERS,LIGHT STREET BARBERS,1,1,250
LIGHTHOUSEINC.,LEIDOS INC,LIGHTHOUSEINC.,1,1,2.7
LIM CONSULTING,LIM CONSULTING,LIM CONSULTING,1,1,206.34
LIM CONSULTING SERVICES,LIM CONSULTING,LIM CONSULTING,1,1,319.2
LINCOLN POLICY GROUP,LINCOLN POLICY GROUP,LINCOLN POLICY GROUP,1,1,1000
LINDA MCREYNOLDS ATTORNEY AT LAW LLC,LINDA MCREYNOLDS ATTORNEY AT LAW LLC,LINDA MCREYNOLDS ATTORNEY AT LAW LLC,1,1,1500
"LINE HONORS STRATEGY GROUP, LLC","LINE HONORS STRATEGY GROUP, LLC","LINE HONORS STRATEGY GROUP, LLC",1,1,2000
LINKLATERS,LINKLATERS,LINKLATERS,1,1,250
LIONTREE,LIONTREE,LIONTREE,1,1,2000
LIONTREE LLC,LIONTREE LLC,LIONTREE LLC,1,1,500
LIPPY BROTHERS FARMS,LIPPY BROTHERS FARMS,LIPPY BROTHERS FARMS,1,1,208.2
LISI NIGRIN INTERIORS LLC,LISI NIGRIN INTERIORS LLC,LISI NIGRIN INTERIORS LLC,1,1,500
LITTLE ORLEANS CAMPGROUND,LITTLE ORLEANS CAMPGROUND,LITTLE ORLEANS CAMPGROUND,1,1,1000
LITTLE RED BARN/JEFFERSON DENTISTRY,LITTLE RED BARN/JEFFERSON DENTISTRY,LITTLE RED BARN/JEFFERSON DENTISTRY,1,1,75
LITTLER,LITTLER,LITTLER,1,1,1000
LIUNA,LIUNA,LIUNA,1,1,1100
LIVE GREEN LANDSCAPE ASSOCIATES,LIVE GREEN LANDSCAPE ASSOCIATES,LIVE GREEN LANDSCAPE ASSOCIATES,1,1,500
LIVE NATION ENTERTAINMENT,LIVE NATION ENTERTAINMENT,LIVE NATION ENTERTAINMENT,1,1,500
"LMC FINANCIAL SVCS., INC.","LMC FINANCIAL SVCS., INC.","LMC FINANCIAL SVCS., INC.",1,1,250
LMCO,LMCO,LMCO,1,1,275
LMG,LMG,LMG,1,1,736.66
LMI,LMI,LMI,1,1,500
LMSVOICE,LMSVOICE,LMSVOICE,1,1,500
LOCAL GOV'T.,LOCAL GOV'T.,LOCAL GOV'T.,1,1,125
LOCKE LORD,LOCKE LORD,LOCKE LORD,1,1,50
LOCKE LORD LLP,LOCKE LORD LLP,LOCKE LORD LLP,1,1,208.2
LOCKTON,LOCKTON,LOCKTON,1,1,1000
LOCKWOOD SOFTWARE,LOCKWOOD SOFTWARE,LOCKWOOD SOFTWARE,1,1,90
LOEFFLER REALTY,LOEFFLER REALTY,LOEFFLER REALTY,1,1,3600
LONG & FOSTER,LONG & FOSTER,LONG & FOSTER,1,1,500
LONG & FOSTER REAL ESTAT,LONG & FOSTER,LONG & FOSTER REAL ESTATE INC,1,1,100
LONG & FOSTER REAL ESTATE INC.,LONG & FOSTER,LONG & FOSTER REAL ESTATE INC,1,1,75
LONG AND FOSTER,LONG AND FOSTER,LONG AND FOSTER,1,1,400
"LONG AND FOSTER REAL ESTATE, INC.",LONG AND FOSTER,LONG AND FOSTER,1,1,500
LONG AND FOSTER REALTORS,LONG AND FOSTER,LONG AND FOSTER,1,1,1525
LONG FOSTER REAL ESTATE INC,LONG & FOSTER,LONG & FOSTER REAL ESTATE INC,1,1,100
LONG RIVER REALTY,LONG RIVER REALTY,LONG RIVER REALTY,1,1,1000
LONGAND FOSTET,LONG AND FOSTER,LONG AND FOSTER,1,1,150
LORNA GROSS INTERIOR DESIGN,LORNA GROSS INTERIOR DESIGN,LORNA GROSS INTERIOR DESIGN,1,1,500
LOTUS EYES CONSULTING LLC,LOTUS EYES CONSULTING LLC,LOTUS EYES CONSULTING LLC,1,1,250
LOYAL CARE,LOYAL CARE,LOYAL CARE,1,1,208
LOYOLA UNIVERSITY OF MARYLAND,LOYOLA UNIVERSITY OF MARYLAND,LOYOLA UNIVERSITY MARYLAND,1,1,450
LP REALTY,LP REALTY,LP REALTY,1,1,75
LSWG,LSWG,LSWG,1,1,520.51
LSWG CPAS,LSWG CPAS,LSWG CPAS,1,1,250
LTN GLOBAL COMMUNICATIONS INC,LTN GLOBAL COMMUNICATIONS INC,LTN GLOBAL COMMUNICATIONS INC,1,1,250
LUCA ASSOCIATES INC,LUCA ASSOCIATES INC,LUCA ASSOCIATES INC,1,1,500
LUCA ASSOCIATES INC.,LUCA ASSOCIATES INC,LUCA ASSOCIATES INC,1,1,100
LUKAS LA FURIA GUTIERREZ & SACHS,LUKAS LA FURIA GUTIERREZ & SACHS,LUKAS LA FURIA GUTIERREZ & SACHS,1,1,1000
LUMINIS HEALTH DOCTORS COMMUNITY MEDIC,LUMINIS HEALTH DOCTORS COMMUNITY MEDIC,LUMINIS HEALTH DOCTORS COMMUNITY MEDIC,1,1,300
LUX SUPPORT SERVICES,LUX SUPPORT SERVICES,LUX SUPPORT SERVICES,1,1,3000
M & T BANK,M & T BANK,M & T BANK,1,1,1000
M AND T BANK,M AND T BANK,M AND T BANK,1,1,500
M&T BANK,M & T BANK,M & T BANK,1,1,1000
M&T INSURANCE AGENCY,M&T INSURANCE AGENCY,M&T INSURANCE AGENCY,1,1,1000
M.C. DEAN INC,M.C. DEAN INC,M.C. DEAN INC,1,1,1165.93
M.C.F.I.,M.C.F.I.,M.C.F.I.,1,1,3300
M.C.P.S.,M.C.P.S.,M.C.P.S.,1,1,350
M.D. GOVERNMENT,M.D. GOVERNMENT,M.D. GOVERNMENT,1,1,0
M.D. STRUCTURAL & MGMT,M.D. STRUCTURAL & MGMT,M.D. STRUCTURAL & MGMT,1,1,250
MAC TOOLS DISTRIBUTORS,MAC TOOLS DISTRIBUTORS,MAC TOOLS DISTRIBUTORS,1,1,115
MACARTHUR DEVELOPMENT,MACARTHUR DEVELOPMENT,MACARTHUR DEVELOPMENT,1,1,1000
MACC,MACC,MACC,1,1,125
MACKENZIE COMMERCIAL REAL ESTATE SERVI,MACKENZIE COMMERCIAL REAL ESTATE SERVI,MACKENZIE COMMERCIAL REAL ESTATE SERVI,1,1,250
MACKENZIE VENTURES INC.,MACKENZIE VENTURES INC.,MACKENZIE VENTURES INC.,1,1,3300
MACKENZIE VENTURES LLC,MACKENZIE VENTURES INC.,MACKENZIE VENTURES INC.,1,1,6600
MACYS,MACYS,MACYS,1,1,89
MAGELLAN HEALTH,MAGELLAN HEALTH,MAGELLAN HEALTH,1,1,500
MAGELLAN HEALTH INC,MAGELLAN HEALTH INC,MAGELLAN HEALTH,1,1,200
MAGER & ASSOCIATES,MAGER & ASSOCIATES,MAGER & ASSOCIATES,1,1,250
MAGNER LAW,MAGNER LAW,MAGNER LAW,1,1,290
MAGOO'S PUB & EATERY,MAGOO'S PUB & EATERY,MAGOO'S PUB & EATERY,1,1,100
MAHOGANY INC,MAHOGANY INC,MAHOGANY INC,1,1,2200
MAIN MANAGEMENT GROUP,MAIN MANAGEMENT GROUP,MAIN MANAGEMENT GROUP,1,1,750
MAINSTREET ADVOCATES,MAINSTREET ADVOCATES,MAINSTREET ADVOCATES,1,1,1000
MAJOR LINDSEY & AFRICA LLC,MAJOR LINDSEY & AFRICA LLC,MAJOR LINDSEY & AFRICA LLC,1,1,500
MALLIOS RIDER & GOLEY LLP,MALLIOS RIDER & GOLEY LLP,MALLIOS RIDER & GOLEY LLP,1,1,1000
MANAGEMENT LEADERSHIP FOR TOMORROW,MANAGEMENT LEADERSHIP FOR TOMORROW,MANAGEMENT LEADERSHIP FOR TOMORROW,1,1,250
MANAGEMENT SOLUTIONS CONSULTING GROUP,MANAGEMENT SOLUTIONS CONSULTING GROUP,MANAGEMENT SOLUTIONS CONSULTING GROUP,1,1,650
MANATOS & MANATOS,MANATOS & MANATOS,MANATOS & MANATOS,1,1,1000
MANATOS & MANATOS INC,MANATOS & MANATOS,MANATOS & MANATOS,1,1,1000
MANATT,MANATT,MANATT,1,1,800
MANATT PHELPS & PHILLIPS LLP,MANATT PHELPS & PHILLIPS LLP,MANATT PHELPS & PHILLIPS LLP,1,1,1000
MANEKIN LLC,MANEKIN LLC,MANEKIN LLC,1,1,2000
MANHATTAN CONSTRUCTION COMPANY,MANHATTAN CONSTRUCTION COMPANY,MANHATTAN CONSTRUCTION COMPANY,1,1,450
MANNA FOOD CENTER,MANNA FOOD CENTER,MANNA FOOD CENTER,1,1,243
MANNING MEDIA INC.,MANNING MEDIA INC.,MANNING MEDIA INC.,1,1,500
MANOR HILL FARM,MANOR HILL FARM,MANOR HILL FARM,1,1,1000
MANSON,MANSON,MANSON,1,1,10
MAPMG,MAPMG,MAPMG,1,1,128
MAPP BIOPHARMACEUTICAL,MAPP BIOPHARMACEUTICAL,MAPP BIOPHARMACEUTICAL,1,1,2000
MARCONI PACIFIC LLC,MARCONI PACIFIC LLC,MARCONI PACIFIC LLC,1,1,1000
MARCUM LLP,MARCUM LLP,MARCUM LLP,1,1,300
MARIANNE FOLLINGSTAD,MARIANNE FOLLINGSTAD,MARIANNE FOLLINGSTAD,1,1,200
MARLBORO ABSTRACT IMC,MARLBORO ABSTRACT IMC,MARLBORO ABSTRACT IMC,1,1,1000
MARRICK PROPERTIES INC.,MARRICK PROPERTIES INC.,MARRICK PROPERTIES INC.,1,1,6600
MARRIOTT,MARRIOTT,MARRIOTT,1,1,250
MARX REALTY,MARX REALTY,MARX REALTY,1,1,1000
MARYLAND AMBULATORY SURGERY CENTER,MARYLAND AMBULATORY SURGERY CENTER,MARYLAND AMBULATORY SURGERY CENTER,1,1,1000
MARYLAND ASSOCIATION OF BOARDS OF EDUC,MARYLAND ASSOCIATION OF BOARDS OF EDUC,MARYLAND ASSOCIATION OF BOARDS OF EDUC,1,1,300
MARYLAND CAREY LAW,MARYLAND CAREY LAW,MARYLAND CAREY LAW,1,1,1500
MARYLAND CENTER FOR HISTORY AND CULTUR,MARYLAND CENTER FOR HISTORY AND CULTUR,MARYLAND CENTER FOR HISTORY AND CULTUR,1,1,250
MARYLAND CENTER OF HOSPITAITY TRAINING,MARYLAND CENTER OF HOSPITAITY TRAINING,MARYLAND CENTER OF HOSPITAITY TRAINING,1,1,1975
MARYLAND CENTER ON ECONOMIC POLICY,MARYLAND CENTER ON ECONOMIC POLICY,MARYLAND CENTER ON ECONOMIC POLICY,1,1,100
MARYLAND CITIZENS' HEALTH INITIATIVE,MARYLAND CITIZENS' HEALTH INITIATIVE,MARYLAND CITIZENS' HEALTH INITIATIVE,1,1,750
MARYLAND COALITION OF FAMILIES,MARYLAND COALITION OF FAMILIES,MARYLAND COALITION OF FAMILIES,1,1,70
MARYLAND COMMISSIONER FOR WOMEN,MARYLAND COMMISSIONER FOR WOMEN,MARYLAND COMMISSIONER FOR WOMEN,1,1,2200
MARYLAND CONGRESSMAN - DISTRICT 5,MARYLAND CONGRESSMAN - DISTRICT 5,MARYLAND CONGRESSMAN - DISTRICT 5,1,1,1000
MARYLAND CRIME VICTIMS RESOURCE CHESTE,MARYLAND CRIME VICTIMS RESOURCE CHESTE,MARYLAND CRIME VICTIMS RESOURCE CHESTE,1,1,260.25
MARYLAND DEPARTMENT OF COMMERCE,MARYLAND GOV,MARYLAND DEPARTMENT OF COMMERCE,1,1,1300
MARYLAND DEPARTMENT OF GENERAL SERVICE,MARYLAND GOV,MARYLAND DEPARTMENT OF GENERAL SERVICE,1,1,250
MARYLAND DEPARTMENT OF NATURAL RESOURC,MARYLAND GOV,MARYLAND DEPARTMENT OF NATURAL RESOURC,1,1,425
MARYLAND DEPT OF HOUSING & COMMUNITY D,MARYLAND GOV,MARYLAND DEPT OF HOUSING & COMMUNITY D,1,1,250
MARYLAND DEPT. HMH,MARYLAND GOV,MARYLAND DEPT. HMH,1,1,313.95
MARYLAND DEPT. OF THE ENVIRONMENT,MARYLAND GOV,MARYLAND DEPARTMENT OF THE ENVIRONMENT,1,1,1000
MARYLAND FILM FESTIVAL,MARYLAND FILM FESTIVAL,MARYLAND FILM FESTIVAL,1,1,26600
MARYLAND HORSE BREEDERS ASSOCIATION,MARYLAND HORSE BREEDERS ASSOCIATION,MARYLAND HORSE BREEDERS ASSOCIATION,1,1,250
MARYLAND JUDICIARY,MARYLAND JUDICIARY,MARYLAND JUDICIARY,1,1,3
MARYLAND MANAGEMENT COMPANY,MARYLAND MANAGEMENT COMPANY,MARYLAND MANAGEMENT COMPANY,1,1,3300
MARYLAND MEDICAL FIRST P.A.,MARYLAND MEDICAL FIRST P.A.,MARYLAND MEDICAL FIRST P.A.,1,1,27
MARYLAND NATIVES NURSERY INC,MARYLAND NATIVES NURSERY INC,MARYLAND NATIVES NURSERY INC,1,1,250
MARYLAND NONPROFITS,MARYLAND NONPROFITS,MARYLAND NONPROFITS,1,1,250
